"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","Approve Denomination- No pending request","Core_Banking_QA","Fri Mar 06 08:17:23 UTC 2026","passed","Fri Mar 06 08:17:23 UTC 2026","Currency Denominations","Cash Management","",""
"","569","Delete Bank","Core_Banking_QA","Fri Mar 06 08:15:36 UTC 2026","failed","Fri Mar 06 08:15:37 UTC 2026","Bank > Branch & Bank > Bank","Setup","",""
"","382","Products: Approved - Success","Core_Banking_QA","Fri Mar 06 08:01:08 UTC 2026","passed","Fri Mar 06 08:01:09 UTC 2026","Internal Product","Products / All Products","",""
"","84","Pending Account Holders- Invalid token","Core_Banking_QA","Fri Mar 06 08:01:36 UTC 2026","passed","Fri Mar 06 08:01:36 UTC 2026","Account Holders","Accounts","",""
"","574","Process Employees in a Batch - Duplicate","Core_Banking_QA","Fri Mar 06 07:58:50 UTC 2026","passed","Fri Mar 06 07:58:50 UTC 2026","Employees > Batches","User Management","",""
"","60087","Update Holiday","Core_Banking_QA","Fri Mar 06 08:05:37 UTC 2026","passed","Fri Mar 06 08:06:37 UTC 2026","Calendar","Setup","",""
"","88","Accounts: Approved- Invalid token","Core_Banking_QA","Fri Mar 06 08:01:25 UTC 2026","failed","Fri Mar 06 08:01:25 UTC 2026","Internal Accounts > Single","Accounts","",""
"","84","Pending Account Holders- Unauthorized","Core_Banking_QA","Fri Mar 06 08:01:36 UTC 2026","passed","Fri Mar 06 08:01:36 UTC 2026","Account Holders","Accounts","",""
"","88","Product Pending- Invalid token","Core_Banking_QA","Fri Mar 06 08:00:33 UTC 2026","failed","Fri Mar 06 08:00:33 UTC 2026","Products","Loan","",""
"","1359","Create Retail Customer","Core_Banking_QA","Fri Mar 06 08:00:04 UTC 2026","passed","Fri Mar 06 08:00:05 UTC 2026","Retail Customer","Customer Management","",""
"","88","Accounts: Pending- Invalid token","Core_Banking_QA","Fri Mar 06 08:01:23 UTC 2026","passed","Fri Mar 06 08:01:23 UTC 2026","Internal Accounts > Single","Accounts","",""
"","90","Export Account Opening Report - Wrong Token","Core_Banking_QA","Fri Mar 06 08:16:52 UTC 2026","failed","Fri Mar 06 08:16:52 UTC 2026","Report","Reports","",""
"","87","Pending- Authorized","Core_Banking_QA","Fri Mar 06 08:00:42 UTC 2026","failed","Fri Mar 06 08:00:42 UTC 2026","Instruments","Loan","",""
"","401","Cancel Request","Core_Banking_QA","Fri Mar 06 08:00:48 UTC 2026","passed","Fri Mar 06 08:00:48 UTC 2026","Documents","Loan","",""
"","91","Approved by ID - Wrong Bearer Token","Core_Banking_QA","Fri Mar 06 08:01:18 UTC 2026","failed","Fri Mar 06 08:01:19 UTC 2026","Customer Products","Products / All Products","",""
"","340","Product Pending","Core_Banking_QA","Fri Mar 06 08:00:32 UTC 2026","passed","Fri Mar 06 08:00:32 UTC 2026","Products","Loan","",""
"","89","Reject Pair - Unauthorized","Core_Banking_QA","Fri Mar 06 08:03:02 UTC 2026","failed","Fri Mar 06 08:03:02 UTC 2026","Currencies > Currency Pairs","Setup","",""
"","89","Customer: Pending by ID - Unauthorized","Core_Banking_QA","Fri Mar 06 08:00:01 UTC 2026","failed","Fri Mar 06 08:00:01 UTC 2026","Retail Customer","Customer Management","",""
"","238","Update Employee - ID Not Valid","Core_Banking_QA","Fri Mar 06 07:58:39 UTC 2026","passed","Fri Mar 06 07:58:39 UTC 2026","Employees > Single","User Management","",""
"","88","Update indiv. Denomination- Invalid token","Core_Banking_QA","Fri Mar 06 08:17:22 UTC 2026","passed","Fri Mar 06 08:17:22 UTC 2026","Currency Denominations","Cash Management","",""
"","87","Account Limits- accountNumber not exist","Core_Banking_QA","Fri Mar 06 08:01:34 UTC 2026","passed","Fri Mar 06 08:01:35 UTC 2026","Customer Accounts","Accounts","",""
"","92","Audit Logs Search- Unauthorized","Core_Banking_QA","Fri Mar 06 08:01:54 UTC 2026","passed","Fri Mar 06 08:01:54 UTC 2026","","Logs","",""
"","92","PEP Transactions Report - Wrong Token","Core_Banking_QA","Fri Mar 06 08:17:02 UTC 2026","failed","Fri Mar 06 08:17:02 UTC 2026","Report","Reports","",""
"","85","Pending by ID: Transaction Limits - Unauthorized","Core_Banking_QA","Fri Mar 06 07:59:24 UTC 2026","failed","Fri Mar 06 07:59:24 UTC 2026","Transaction Limits > Limits","User Management","",""
"","335","Pending","Core_Banking_QA","Fri Mar 06 08:00:46 UTC 2026","passed","Fri Mar 06 08:00:47 UTC 2026","Documents","Loan","",""
"","960","Update Report Setup done","Core_Banking_QA","Fri Mar 06 08:17:07 UTC 2026","passed","Fri Mar 06 08:17:08 UTC 2026","Report Setup","Reports","",""
"","234","Reject Request - Invalid ID","Core_Banking_QA","Fri Mar 06 07:59:25 UTC 2026","passed","Fri Mar 06 07:59:25 UTC 2026","Transaction Limits > Limits","User Management","",""
"","235","Update Placeholder - Invalid ID","Core_Banking_QA","Fri Mar 06 08:01:59 UTC 2026","passed","Fri Mar 06 08:01:59 UTC 2026","Placeholder","Setup","",""
"","88","Product by ID - Wrong Bearer Token","Core_Banking_QA","Fri Mar 06 08:01:09 UTC 2026","failed","Fri Mar 06 08:01:10 UTC 2026","Internal Product","Products / All Products","",""
"","413","Summary Counter","Core_Banking_QA","Fri Mar 06 08:01:55 UTC 2026","passed","Fri Mar 06 08:01:55 UTC 2026","Placeholder","Setup","",""
"","265","Reject Request","Core_Banking_QA","Fri Mar 06 08:00:38 UTC 2026","failed","Fri Mar 06 08:00:38 UTC 2026","Currencies","Loan","",""
"","85","Reject Request - Unauthroized","Core_Banking_QA","Fri Mar 06 07:59:16 UTC 2026","failed","Fri Mar 06 07:59:17 UTC 2026","Transaction Limits > User Transaction Limit","User Management","",""
"","164","Update Product","Core_Banking_QA","Fri Mar 06 08:01:19 UTC 2026","failed","Fri Mar 06 08:01:19 UTC 2026","Customer Products","Products / All Products","",""
"","164","Approved by ID - Wrong ID","Core_Banking_QA","Fri Mar 06 08:01:18 UTC 2026","passed","Fri Mar 06 08:01:18 UTC 2026","Customer Products","Products / All Products","",""
"","396","Cancel Request","Core_Banking_QA","Fri Mar 06 08:00:46 UTC 2026","passed","Fri Mar 06 08:00:46 UTC 2026","GL Subhead","Loan","",""
"","2878","Customer: Pending by ID","Core_Banking_QA","Fri Mar 06 07:59:58 UTC 2026","passed","Fri Mar 06 08:00:00 UTC 2026","Retail Customer","Customer Management","",""
"","93","Cash Deposit Report - Wrong Token","Core_Banking_QA","Fri Mar 06 08:16:48 UTC 2026","failed","Fri Mar 06 08:16:48 UTC 2026","Report","Reports","",""
"","471","Approved by ID","Core_Banking_QA","Fri Mar 06 08:15:42 UTC 2026","passed","Fri Mar 06 08:15:42 UTC 2026","Bank > Branch & Bank > External Branches","Setup","",""
"","98","Reject Loan Collaterals","Core_Banking_QA","Fri Mar 06 08:01:05 UTC 2026","passed","Fri Mar 06 08:01:05 UTC 2026","Loan Collaterals","Loan","",""
"","451","Reject Bank Params","Core_Banking_QA","Fri Mar 06 08:15:34 UTC 2026","failed","Fri Mar 06 08:15:34 UTC 2026","Bank > Bank Parameters","Setup","",""
"","727","Create Loan Product done","Core_Banking_QA","Fri Mar 06 08:00:50 UTC 2026","passed","Fri Mar 06 08:00:51 UTC 2026","Loan Product > Loan Products","Loan","",""
"","88","Approve/Reject Request - Unauthorized","Core_Banking_QA","Fri Mar 06 08:01:58 UTC 2026","passed","Fri Mar 06 08:01:58 UTC 2026","Placeholder","Setup","",""
"","84","EOD Clear Bod- Unauthorized","Core_Banking_QA","Fri Mar 06 08:17:18 UTC 2026","failed","Fri Mar 06 08:17:18 UTC 2026","","EOD","",""
